feature_idx,importance
0,0.021864956
1,0.00559198
2,0.013206695
3,0.010851425
4,0.0152738355
5,0.014868837
6,0.0116739245
7,0.0115073575
8,0.009306958
9,0.02956386
10,0.0086379545
11,0.011463354
12,0.011023094
13,0.009190059
14,0.0071023135
15,0.010952734
16,0.011111494
17,0.016955866
18,0.005712392
19,0.015673265
20,0.086719505
21,0.08081613
22,0.04667572
23,0.080954745
24,0.048413906
25,0.10557379
26,0.08922847
27,0.11831468
28,0.0841471
29,0.06716878
30,0.06483096
31,0.06957903
32,0.056793172
33,0.06766282
34,0.052395396
35,0.06270019
36,0.030013554
37,0.04760747
38,0.07974514
39,0.06718907
40,0.078883395
41,0.06153349
42,0.04269181
43,0.054379605
44,0.05229045
45,0.047308806
46,0.02887004
47,0.036128543
48,0.073224634
49,0.08360197
50,0.044089023
51,0.041335974
52,0.068761654
53,0.07159912
54,0.032344848
55,0.050830428
56,0.083666734
57,0.053461086
58,0.055019762
59,0.04507703
60,0.04225403
61,0.06282844
62,0.052964743
63,0.049929786
64,0.07819766
65,0.049195185
66,0.0511076
67,0.046190586
68,0.0357252
69,0.04471726
70,0.031793512
71,0.06473401
72,0.055199582
73,0.049975965
74,0.100206144
75,0.07868099
76,0.04327527
77,0.054301634
78,0.072248764
79,0.0663551
80,0.058307935
81,0.059761267
82,0.045197334
83,0.08154528
84,0.049438708
85,0.04888787
86,0.056589387
87,0.052103296
88,0.067802615
89,0.072893605
90,0.063336775
91,0.060739152
92,0.048003264
93,0.0368196
94,0.04807388
95,0.06757336
96,0.049833518
97,0.07225136
98,0.0509188
99,0.062288024
100,0.041155495
101,0.03840424
102,0.086517625
103,0.049862824
104,0.052785024
105,0.062440347
106,0.034952793
107,0.05002643
108,0.06014388
109,0.07430414
110,0.057578433
111,0.04121702
112,0.044847786
113,0.047268704
114,0.053033352
115,0.05422021
116,0.06525561
117,0.0378635
118,0.07296673
119,0.054025248
120,0.04114791
121,0.1259348
122,0.061979562
123,0.044037547
124,0.062373497
125,0.053435482
126,0.05759051
127,0.05695656
128,0.053749587
129,0.069236025
130,0.059949063
131,0.05091074
132,0.058125827
133,0.060642038
134,0.056666397
135,0.05373064
136,0.07947386
137,0.04993833
138,0.045786507
139,0.04932155
140,0.06690911
141,0.038516685
142,0.06122977
143,0.076668434
144,0.084292546
145,0.045555394
146,0.058943618
147,0.05066909
148,0.04899356
149,0.05210506
150,0.0759104
151,0.07481194
152,0.03586585
153,0.04730489
154,0.030861454
155,0.10385018
156,0.05302976
157,0.07458851
158,0.03677402
159,0.05386557
160,0.06435346
161,0.05041441
162,0.033112064
163,0.05923842
164,0.050307892
165,0.05567634
166,0.057862554
167,0.037889563
168,0.0433754
169,0.04520839
170,0.035862535
171,0.035604183
172,0.0669164
173,0.06262771
174,0.04938345
175,0.058249027
176,0.046452943
177,0.05489789
178,0.054476082
179,0.072965294
180,0.055658937
181,0.05512662
182,0.043780066
183,0.071295895
184,0.04408764
185,0.041235875
186,0.04074371
187,0.0558578
188,0.043246493
189,0.05736833
190,0.04207717
191,0.04989076
192,0.04912563
193,0.039981734
194,0.0765406
195,0.067491084
196,0.043894663
197,0.049415253
198,0.06075074
199,0.06046058
200,0.065093905
201,0.057178564
202,0.04658579
203,0.060241107
204,0.042217124
205,0.04138604
206,0.07861023
207,0.07752869
208,0.046591748
209,0.06518378
210,0.070433475
211,0.03708572
212,0.07414225
213,0.0449609
214,0.06325456
215,0.06560145
216,0.07147682
217,0.06880555
218,0.057370342
219,0.054033063
220,0.054161005
221,0.057407014
222,0.050599832
223,0.028865995
224,0.04219651
225,0.05408206
226,0.08904887
227,0.037132014
228,0.038225215
229,0.06750028
230,0.046535276
231,0.062220603
232,0.09194606
233,0.053570505
234,0.07489322
235,0.08412188
