Class,Precision,Recall,F1,Support
Oxidoreductase,0.9553571428571429,0.9304347826086956,0.9427312775330396,115
Transferase,0.8862745098039215,0.9112903225806451,0.8986083499005965,248
Hydrolase,0.9385665529010239,0.9290540540540541,0.933786078098472,296
Lyase,0.8709677419354839,0.8059701492537313,0.8372093023255814,67
Isomerase,0.8333333333333334,0.967741935483871,0.8955223880597015,31
Ligase,0.9375,0.8823529411764706,0.9090909090909091,17
Translocase,0.7142857142857143,0.7142857142857143,0.7142857142857143,7
