Class,Precision,Recall,F1,Support
Oxidoreductase,0.7596153846153846,0.6869565217391305,0.7214611872146118,115
Transferase,0.678030303030303,0.7217741935483871,0.69921875,248
Hydrolase,0.7190332326283988,0.8040540540540541,0.759170653907496,296
Lyase,0.7608695652173914,0.5223880597014925,0.6194690265486725,67
Isomerase,0.7391304347826086,0.5483870967741935,0.6296296296296297,31
Ligase,0.5555555555555556,0.29411764705882354,0.38461538461538464,17
Translocase,0.5,0.2857142857142857,0.36363636363636365,7
