Class,Precision,Recall,F1,Support
Oxidoreductase,0.9469026548672567,0.9304347826086956,0.9385964912280702,115
Transferase,0.9196787148594378,0.9233870967741935,0.9215291750503019,248
Hydrolase,0.9491525423728814,0.9459459459459459,0.9475465313028765,296
Lyase,0.9482758620689655,0.8208955223880597,0.88,67
Isomerase,0.90625,0.9354838709677419,0.9206349206349206,31
Ligase,0.75,0.8823529411764706,0.8108108108108109,17
Translocase,0.5,1.0,0.6666666666666666,7
