n_blobs,accuracy,macro_f1,macro_auroc,time_s
3,0.9039692701664532,0.8422286382487448,0.9516368552749043,2479.999109506607
5,0.8924455825864277,0.8328085255391112,0.9557827073770413,1970.8001084327698
8,0.8886043533930857,0.8089367782640277,0.9433392357506525,1909.6455409526825
12,0.910371318822023,0.844859308571572,0.9365470776629751,2542.391606092453
