seed,accuracy,macro_f1,macro_auroc
42,0.9142125480153649,0.8902640966689919,0.9432547272963151
123,0.9090909090909091,0.8712850987711364,0.9388740316751137
456,0.8898847631241997,0.8238719562897948,0.9481183166805207
789,0.911651728553137,0.8884309873121562,0.949368093187113
1024,0.8975672215108835,0.8149750112067442,0.9310440645865817
