feature_set,feat_dim,edge_dim,accuracy,macro_f1,macro_auroc,time_s
onehot_only,20,0,0.7516005121638925,0.6238994073038365,0.8895567780018229,3475.7859210968018
onehot+physico,38,18,0.7221510883482715,0.6527571756840239,0.9395360846571776,1573.7610502243042
onehot+physico+esm2,1318,18,0.9090909090909091,0.8533740782917846,0.9660798930886473,2342.4710581302643
full,1318,18,0.912932138284251,0.8458048347934826,0.9776330512629444,2967.561666250229
