protein_idx,method,auroc,top_k_precision,spatial_coherence,spatial_corr,sequence_bias,attn_entropy,pred_auroc,pred_top_k_precision
0,esm_attention,0.7702558635394456,0.8,13.875706672668457,0.4191532463336947,0.017685619890113257,4.848750114440918,,
0,linear_probe,0.8251599147121536,0.9,12.286547660827637,0.5870219605103509,0.29301238894480686,,0.8840085287846482,0.95
0,gnn,0.5543710021321961,0.25,13.300529479980469,-0.012384539594668368,0.03616539982263661,,0.9972281449893391,1.0
1,esm_attention,0.6025132275132276,0.42105263157894735,17.754159927368164,0.19449932903786904,0.00021730574081585118,4.76085090637207,,
1,linear_probe,0.7115299823633158,0.8947368421052632,12.370723724365234,0.3513652604483907,0.18936902520962615,,0.9975749559082892,1.0
1,gnn,0.4240520282186949,0.42105263157894735,19.206274032592773,0.2597068254596339,0.12325496290763037,,1.0,1.0
